cod_comuna,comuna,poblacion,conteo_establecimientos_salud,tasa_salud_10k,conteo_establecimientos_educacion,tasa_educacion_escolar_10k,conteo_establecimientos_educacion_superior,tasa_educacion_superior_10k,conteo_cuarteles_carabineros,tasa_carabineros_10k,conteo_companias_bomberos,tasa_bomberos_10k,conteo_paradas_metro_tren,tasa_metro_tren_10k,conteo_paradas_micro,tasa_micro_10k,conteo_infraestructura_deportiva,tasa_deporte_infra_10k,conteo_municipios,tasa_municipios_10k,conteo_ferias_libres,tasa_ferias_libres_10k,conteo_areas_verdes,tasa_areas_verdes_10k,conteo_osm_iglesias,tasa_iglesias_10k,conteo_osm_museos,tasa_museos_10k,conteo_osm_supermercados,tasa_supermercados_10k,conteo_osm_almacenes_barrio,tasa_almacenes_barrio_10k,conteo_osm_bancos,tasa_bancos_10k,conteo_osm_malls,tasa_malls_10k,conteo_osm_bencineras,tasa_bencineras_10k,conteo_osm_estadios,tasa_estadios_10k
13106,Estación Central,181049,17,0.9389723224099553,59,3.258786295422786,26,1.4360753166269904,3,0.16570099807234503,1,0.05523366602411502,2,0.11046733204823005,339,18.72421278217499,110,6.075703262652652,1,0.05523366602411502,11,0.6075703262652652,279,15.410192820728088,12,0.6628039922893801,3,0.16570099807234503,11,0.6075703262652652,48,2.6512159691575206,11,0.6075703262652652,4,0.2209346640964601,14,0.7732713243376101,3,0.16570099807234503
13107,Huechuraba,101808,13,1.276913405626277,27,2.652050919377652,3,0.29467232437529467,1,0.09822410812509823,2,0.19644821625019646,0,0.0,208,20.43061449002043,73,7.17035989313217,1,0.09822410812509823,3,0.29467232437529467,56,5.5005500550055,17,1.6698098381266697,1,0.09822410812509823,8,0.7857928650007858,45,4.42008486562942,12,1.1786892975011787,1,0.09822410812509823,8,0.7857928650007858,0,0.0
13108,Independencia,116943,23,1.9667701358781629,37,3.1639345664126965,8,0.684093960305448,5,0.427558725190905,1,0.085511745038181,0,0.0,160,13.68187920610896,53,4.532122487023592,1,0.085511745038181,6,0.513070470229086,75,6.413380877863575,11,0.940629195419991,3,0.256535235114543,10,0.85511745038181,25,2.137793625954525,4,0.342046980152724,2,0.171023490076362,12,1.026140940458172,2,0.171023490076362
13603,Isla de Maipo,39274,9,2.2915924020980802,17,4.328563426185262,0,0.0,2,0.5092427560217956,3,0.7638641340326934,0,0.0,0,0.0,31,7.893262718337832,1,0.2546213780108978,6,1.5277282680653868,14,3.5646992921525693,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.7638641340326934,0,0.0
13109,La Cisterna,103157,9,0.8724565468169877,65,6.301075060344911,0,0.0,2,0.19387923262599727,2,0.19387923262599727,0,0.0,248,24.04102484562366,65,6.301075060344911,1,0.09693961631299863,6,0.5816376978779918,39,3.780645036206947,22,2.1326715588859697,1,0.09693961631299863,6,0.5816376978779918,27,2.617369640450963,8,0.7755169305039891,2,0.19387923262599727,7,0.6785773141909904,1,0.09693961631299863
13110,La Florida,374836,42,1.120490027638754,183,4.882135120426,8,0.21342667193119125,4,0.10671333596559562,3,0.08003500197419672,0,0.0,790,21.075883853205134,290,7.736716857505683,1,0.026678333991398906,28,0.7469933517591694,428,11.418326948318732,63,1.680735041458131,0,0.0,30,0.8003500197419672,118,3.148043410985071,27,0.7203150177677704,4,0.10671333596559562,20,0.5335666798279781,1,0.026678333991398906
13111,La Granja,112022,10,0.89268179464748,54,4.820481691096392,0,0.0,3,0.267804538394244,2,0.17853635892949601,0,0.0,253,22.584849404581245,106,9.462427023263288,1,0.08926817946474801,11,0.9819499741122278,394,35.171662709110706,21,1.8746317687597078,2,0.17853635892949601,7,0.624877256253236,33,2.9458499223366843,2,0.17853635892949601,2,0.17853635892949601,3,0.267804538394244,2,0.17853635892949601
13112,La Pintana,175421,16,0.9120914827757224,70,3.9904002371437852,4,0.2280228706939306,2,0.1140114353469653,1,0.05700571767348265,0,0.0,380,21.662172715923408,154,8.778880521716328,1,0.05700571767348265,12,0.6840686120817917,535,30.49805895531322,28,1.596160094857514,1,0.05700571767348265,3,0.17101715302044793,51,2.907291601347615,2,0.1140114353469653,0,0.0,5,0.28502858836741324,0,0.0
13113,La Reina,89870,17,1.8916212306665183,42,4.673417158117281,1,0.11127183709803048,1,0.11127183709803048,1,0.11127183709803048,0,0.0,271,30.154667853566263,64,7.121397574273951,1,0.11127183709803048,4,0.44508734839212194,87,9.680649827528653,16,1.7803493935684878,2,0.22254367419606097,9,1.0014465338822744,28,3.1156114387448537,17,1.8916212306665183,2,0.22254367419606097,9,1.0014465338822744,1,0.11127183709803048
13302,Lampa,145160,9,0.6200055111600992,57,3.9267015706806285,0,0.0,3,0.2066685037200331,3,0.2066685037200331,0,0.0,58,3.9955910719206393,58,3.9955910719206393,1,0.06888950124001102,5,0.34444750620005515,23,1.5844585285202537,4,0.27555800496004407,0,0.0,3,0.2066685037200331,9,0.6200055111600992,3,0.2066685037200331,0,0.0,7,0.48222650868007716,1,0.06888950124001102
13114,Las Condes,296134,56,1.8910358148675936,60,2.0261098016438503,25,0.8442124173516043,2,0.06753699338812835,2,0.06753699338812835,0,0.0,491,16.58033187678551,118,3.9846826098995725,1,0.033768496694064176,4,0.1350739867762567,310,10.468233975159894,43,1.4520453578447594,5,0.16884248347032085,29,0.979286404127861,126,4.254830583452086,120,4.052219603287701,21,0.7091384305753478,21,0.7091384305753478,2,0.06753699338812835
13115,Lo Barnechea,112620,17,1.5095009767359262,31,2.7526194281655125,8,0.7103534008169065,3,0.2663825253063399,1,0.0887941751021133,0,0.0,200,17.758835020422662,58,5.150062155922572,1,0.0887941751021133,2,0.1775883502042266,96,8.524240809802876,11,0.9767359261232463,2,0.1775883502042266,11,0.9767359261232463,29,2.575031077961286,22,1.9534718522464927,9,0.7991475759190196,13,1.1543242763274728,0,0.0
13116,Lo Espejo,87295,9,1.0309868835557592,38,4.353055730568761,0,0.0,3,0.3436622945185864,3,0.3436622945185864,2,0.22910819634572427,215,24.62913110716536,89,10.19531473738473,1,0.11455409817286213,0,0.0,383,43.8742196002062,18,2.0619737671115184,0,0.0,2,0.22910819634572427,22,2.5201901598029672,1,0.11455409817286213,1,0.11455409817286213,2,0.22910819634572427,2,0.22910819634572427
13117,Lo Prado,91290,10,1.0954102311315588,31,3.395771716507832,0,0.0,1,0.10954102311315587,1,0.10954102311315587,0,0.0,216,23.66086099244167,65,7.120166502355132,1,0.10954102311315587,6,0.6572461386789352,404,44.25457333771497,6,0.6572461386789352,0,0.0,9,0.9858692080184028,9,0.9858692080184028,2,0.21908204622631175,0,0.0,2,0.21908204622631175,0,0.0
13118,Macul,123800,14,1.1308562197092085,39,3.1502423263327946,7,0.5654281098546042,1,0.08077544426494346,1,0.08077544426494346,0,0.0,292,23.58642972536349,74,5.977382875605816,1,0.08077544426494346,8,0.6462035541195477,73,5.896607431340873,26,2.10016155088853,3,0.24232633279483037,9,0.7269789983844911,10,0.8077544426494346,8,0.6462035541195477,0,0.0,9,0.7269789983844911,1,0.08077544426494346
13119,Maipú,503635,43,0.8537929254321086,200,3.9711298857307376,6,0.11913389657192214,3,0.05956694828596107,7,0.1389895460005758,0,0.0,892,17.71123929035909,309,6.135395673453989,1,0.01985564942865369,21,0.41696863800172745,326,6.472941713741102,72,1.4296067588630657,2,0.03971129885730738,48,0.9530711725753771,112,2.223832736009213,21,0.41696863800172745,10,0.19855649428653688,25,0.4963912357163422,1,0.01985564942865369
